Product_ID,Product_Name,Product_Type,Product_Color,Product_Material,Amazon_Price,eBay_Price,Amazon_URL,eBay_URL,Timestamp
1,Apple iPhone 15 Pro,Electronics,Silver,Titanium,1099.00,1075.50,https://amazon.com/product1,https://ebay.com/item1,2025-03-31 12:01:00
2,Samsung Galaxy S24 Ultra,Electronics,Black,Aluminum,1199.99,1179.89,https://amazon.com/product2,https://ebay.com/item2,2025-03-31 12:01:01
3,Dyson V15 Detect,Home Appliance,Purple,Plastic,699.00,680.20,https://amazon.com/product3,https://ebay.com/item3,2025-03-31 12:01:02
4,Sony WH-1000XM5,Gaming,Black,Plastic,399.99,389.99,https://amazon.com/product4,https://ebay.com/item4,2025-03-31 12:01:03
5,Google Nest Thermostat,Smart Home,White,Glass,129.99,124.99,https://amazon.com/product5,https://ebay.com/item5,2025-03-31 12:01:04
6,KitchenAid Stand Mixer,Kitchen,Red,Metal,349.00,340.00,https://amazon.com/product6,https://ebay.com/item6,2025-03-31 12:01:05
7,Levi's 501 Jeans,Clothing,Blue,Denim,59.99,55.00,https://amazon.com/product7,https://ebay.com/item7,2025-03-31 12:01:06
8,Nike Air Max 90,Shoes,White,Leather,120.00,115.00,https://amazon.com/product8,https://ebay.com/item8,2025-03-31 12:01:07
9,Canon EOS R6 Mark II,Camera,Black,Magnesium Alloy,2499.00,2450.00,https://amazon.com/product9,https://ebay.com/item9,2025-03-31 12:01:08
10,Kindle Paperwhite,Books,Black,Plastic,139.99,135.00,https://amazon.com/product10,https://ebay.com/item10,2025-03-31 12:01:09
11,Instant Pot Duo Nova,Kitchen,Silver,Stainless Steel,79.00,75.00,https://amazon.com/product11,https://ebay.com/item11,2025-03-31 12:01:10
12,Adidas Ultraboost,Shoes,Black,Fabric,180.00,175.00,https://amazon.com/product12,https://ebay.com/item12,2025-03-31 12:01:11
13,Bose QuietComfort Earbuds II,Audio,Black,Plastic,249.00,240.00,https://amazon.com/product13,https://ebay.com/item13,2025-03-31 12:01:12
14,Roomba i7+,Home Appliance,Black,Plastic,499.00,480.00,https://amazon.com/product14,https://ebay.com/item14,2025-03-31 12:01:13
15,Fitbit Versa 4,Fitness,Pink,Aluminum,229.00,220.00,https://amazon.com/product15,https://ebay.com/item15,2025-03-31 12:01:14
